@W: CG146 :"F:\PSTR17R5B\ipcore_dir\myfifo.v":39:7:39:12|Creating black box for empty module myfifo
@W: CL169 :"F:\PSTR17R5B\prf_gen.v":46:4:46:9|Pruning register ys_clock_num_reg[31:0] 
@W: CL208 :"F:\PSTR17R5B\cmd_update.v":126:8:126:9|All reachable assignments to bit 0 of rx_ch_ctrl_reg[2:0] assign 1, register removed by optimization.
@W: CL118 :"F:\PSTR17R5B\cmd_update.v":126:8:126:9|Latch generated from always block for signal rx_ch_ctrl_reg[2:0]; possible missing assignment in an if or case statement.
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_0_[11] is always 1, optimizing ...
